KEY|ENGLISH|NOTES|GERMAN|FRENCH|ITALIAN|SPANISH|PORTUGUESE|PORTUGUESE BR|POLISH|RUSSIAN|DANISH|DUTCH|SWEDISH|NORWEGIAN|HUNGARIAN|FINNISH|
GUI.UI_SCALE|UI scale:|Used to make the game interface larger or smaller|Interfaceengröße|Dimension de l'interface:|Dimensione dell'interfaccia:|Tamaño de interfaz:|Tamanho da interface:|Tamanho da interface:|Rozmiar interfejsu:|Размер интерфейса:|||||||
GUI.ZONES_LABEL|Zones|This should be as short as possible|Zonen|Zones|Zone|Zonas|Áreas|Zonas|Strefy|Зоны|||||||

HUMANOID.DESCRIPTION|{{name}}, {{race.adjective}} {{profession.noun}}|E.g. “Urist McScrooge, Dwarven miner”|{{name}}, {{race.adjective}} {{profession.noun}}|{{name}}, {{profession.noun}} {{race.adjective}}|{{name}}, {{profession.noun}} {{race.adjective}}|{{name}}, {{profession.noun}} {{race.adjective}}|{{name}}, {{race.adjective}} {{profession.noun}}|{{name}}, {{profession.noun}} {{race.adjective}}|{{name}}, {{race.adjective}} {{profession.noun}}|{{name}}, {{race.noun}}-{{profession.noun}}|||||||

INGRDIENT.DOUGH|Dough|To be combined with the above as “bread dough”|Teig|Pâte|Impasto|Masa|Massa|Massa|Ciasto|тесто|||||||

INGREDIENT.FLOUR|Flour||Mehl|Farine|Farina|Harina|Farinha|Farinha|Mąka|мука|||||||
INGREDIENT.LOAF|Loaf|To be combined with the above as “bread loaf”|Laib|Miche|Filone|Hogaza|Pão de forma|Fatia|Bochenek|буханка|||||||
INGREDIENT.LOAF.PLURAL|Loaves||Laibe|Miches|Filoni|Hogazas|Pães de forma|Fatias|Bochenki|буханки|||||||
INGREDIENT.SEEDS.NOUN|Seed|E.g. “Wheat seed”|Samen|Graine :|Seme|Semilla|Semente|Semente|Nasiono|Семя:|||||||
INGREDIENT.SEEDS.PLURAL|Seeds|E.g. “4 wheat seeds”|Samen|Graines :|Semi|Semillas|Sementes|Sementes|Nasiona|Семена:|||||||
INGREDIENT.VEGETABLE.SACK.NOUN|Sack|E.g. “Sack containing a potato”|Sack|Sac :|Sacco|Saco|Saco|Saca|Worek|Мешок|||||||

INVENTORY.CONTAINS.LABEL|Inventory:|This is the label of “inventory” to go above a list of items contained within a piece of furniture or held by a character|Inventar:|Inventaire :|Inventario:|Inventario:|Inventário:|Inventário:|Zapas:|Инвентарь:|||||||

ITEM.DESCRIPTION|{{quantity_if_multiple}}{{materialType.adjective}} {{itemType.noun_or_plural}}|E.g. “Iron axe”, “Beech wood fishing rod”, “3 marble blocks”|{{quantity_if_multiple}}{{itemType.noun_or_plural}} aus {{materialType}}|{{quantity_if_multiple}}{{itemType.noun_or_plural}} {{materialType.adjective}}|{{quantity_if_multiple}}{{itemType.noun_or_plural}} {{materialType.adjective}}|{{quantity_if_multiple}}{{itemType.noun_or_plural}} {{materialType.adjective}}|{{quantity_if_multiple}}{{materialType.adjective}} {{itemType.noun_or_plural}}|{{quantity_if_multiple}}{{itemType.noun_or_plural}} {{materialType.adjective}}|{{materialType.adjective}} {{itemType.noun_or_plural}}: {{quantity_if_multiple}}|{{quantity_if_multiple}}{{itemType.noun_or_plural}} {{materialType.adjective}}|||||||
ITEM.INGREDIENT.DESCRIPTION|{{quantity_if_multiple}}{{materialType.noun_or_plural}}|E.g. “2 potatoes”|{{quantity_if_multiple}}{{materialType.noun_or_plural}}|{{quantity_if_multiple}}{{materialType.noun_or_plural}}|{{quantity_if_multiple}}{{materialType.noun_or_plural}}|{{quantity_if_multiple}}{{materialType.noun_or_plural}}|{{quantity_if_multiple}}{{materialType.noun_or_plural}}|{{quantity_if_multiple}}{{materialType.noun_or_plural}}|{{quantity_if_multiple}}{{materialType.noun_or_plural}}|{{quantity_if_multiple}}{{materialType.noun_or_plural}}|||||||

LANGUAGE.LABEL|Language||Sprache|Langue|Lingua|Idioma|Idioma|Idioma|Język|Язык|||||||

LIQUID.WATER.NOUN|Water||Wasser|Eau|Acqua|Agua|Água|Água|Woda|Вода|||||||

MATERIAL|Material|Used for specifying which material something is made out of|Material|Matériau|Materiale|Material|Material|Material|Materiał|Материал|||||||

MATERIAL_TYPE|Type||Art|Sorte|Tipo|Tipo de material|Tipo|Tipo|Rodzaj|тип|||||||
MATERIAL_TYPE.ANY|Any|For allowing any kind of material to be used|Beliebig|Tous|Qualsiasi|Cualquiera|Qualquer|Qualquer|Każdy|Любой|||||||
MATERIAL_TYPE.GEM.NOUN|Gem|This is only used as a noun|Edelstein|Gemme|Gemma|{{BLANK}}|Joia|de gema|Klejnot|Самоцвет|||||||
MATERIAL_TYPE.METAL.ADJECTIVE|Metallic||Metall|en métal|di metallo|De metal|De metal|de metal|Metalowy|(металл)|||||||
MATERIAL_TYPE.METAL.NOUN|Metal||Metall|Métal|Metallo|Metal|Metal|Metal|Metal|Металл|||||||
MATERIAL_TYPE.ORE.NOUN|Ore|This is only used as a noun|Erz|Minerai|{{BLANK}}|{{BLANK}}|Minério|Minério|Ruda|Руда|||||||
MATERIAL_TYPE.OTHER.NOUN|Other|This isn't actually used in-game yet so won't be combined with other words|Anderes|Autre|Altro|Otro|Outro|Outro(a)|Inne|Другое|||||||
MATERIAL_TYPE.SEED.NOUN|Seed|For saying something is “made up of seed”|Samen|Graine|Seme|Semilla|Semente|Semente|Nasiono|Семя|||||||
MATERIAL_TYPE.STONE.ADJECTIVE|||Stein|en pierre|di pietra|De piedra|De pedra||Kamienny|(камень)|||||||
MATERIAL_TYPE.STONE.NOUN|Stone||Stein|Pierre|Pietra|Piedra|Pedra|Pedra|Kamień|Камень|||||||
MATERIAL_TYPE.VEGETABLE.NOUN|Vegetable|Used to make up “Vegetable soup”|Gemüse|Légumes|Verdure|De verduras|Vegetal|Vegetal|Warzywo|Овощной|||||||
MATERIAL_TYPE.WOOD.ADJECTIVE|Wooden||Holz|en bois|di legno|De madera|De madeira|de madeira|Drewniany|(дерево)|||||||
MATERIAL_TYPE.WOOD.NOUN|Wood||Holz|Bois|Legno|Madera|Madeira|Madeira|Drewno|Дерево|||||||

MENU.CONTINUE_GAME|Continue game||Spiel fortsetzen|Continuer|Continua partita|Continuar partida|Continuar jogo|Continuar jogo|Kontynuuj|Продолжить игру|||||||
MENU.NEW_GAME|Start new game||Neues Spiel beginnen|Nouvelle partie|Nuova partita|Comenzar partida nueva|Iniciar novo jogo|Começar outro jogo|Nowa gra|Начать новую игру|||||||
MENU.QUIT|Quit||Beenden|Quitter|Esci|Salir|Sair|Sair|Wyjdź|Выйти|||||||
MENU.TOGGLE_FULLSCREEN|Toggle fullscreen||Auf Vollbildschirm umstellen|Plein écran|Attiva/Disattiva schermo intero|Pantalla completa (sí/no)|Alternar ecrã inteiro|Alternar tela cheia|Pełen ekran|Во весь экран|||||||

METAL.BRONZE.ADJECTIVE|Bronze||Bronze|en bronze|di bronzo|De bronce|De bronze|de bronze|Brązowy|(бронза)|||||||
METAL.BRONZE.NOUN|Bronze||Bronze|Bronze|Bronzo|Bronce|Bronze|de bronze|Brąz|Бронза|||||||
METAL.COPPER.ADJECTIVE|Copper||Kupfer|en cuivre|di rame|De cobre|De cobre|de cobre|Miedziany|(медь)|||||||
METAL.COPPER.NOUN|Copper||Kupfer|Cuivre|Rame|Cobre|Cobre|de cobre|Miedź|Медь|||||||
METAL.GOLD.ADJECTIVE|Golden||Gold|en or|d'oro|De oro|De ouro|de ouro|Złoty|(золото)|||||||
METAL.GOLD.NOUN|Gold||Gold|Or|Oro|Oro|Ouro|Ouro|Złoto|Золото|||||||
METAL.IRON.ADJECTIVE|Iron||Eisen|en fer|di ferro|De hierro|De ferro|de ferro|Żelazny|(железо)|||||||
METAL.IRON.NOUN|Iron||Eisen|Fer|Ferro|Hierro|Ferro|de ferro|Żelazo|Железо|||||||
METAL.SILVER.NOUN|Silver||Silber|Argent|Argento|Plata|Prata|Prata|Srebro|Серебро (серебро)|||||||
METAL.STEEL.ADJECTIVE|Steel||Stahl|en acier|d'acciaio|De acero|De aço|de aço|Stalowy|(сталь)|||||||
METAL.STEEL.NOUN|Steel||Stahl|Acier|Acciaio|Acero|Aço|de aço|Stal|Сталь|||||||
METAL.TIN.NOUN|Tin||Zinn|Étain|Alluminio|Hojalata|Latão|Estanho|Cyna|Олово (олово)|||||||

ORE.BITUMINOUS_COAL.ADJECTIVE|||||di carbone bituminoso|De carbón bituminoso|||||||||||
ORE.BITUMINOUS_COAL.NOUN|Bituminous coal|these only require nouns|Steinkohle|Charbon bitumineux|Carbone bituminoso|Carbón bituminoso|Hematite|Carvão betuminoso|Węgiel bitumiczny|Каменный уголь|||||||
ORE.CASSITERITE.ADJECTIVE|||||di cassiterite|De casiterita|||||||||||
ORE.CASSITERITE.NOUN|Cassiterite||Kassiterit|Cassitérite|Cassiterite|Casiterita|Cassiterite|Cassiterita|Kasyteryt|Касситерит|||||||
ORE.GALENA.ADJECTIVE|||||di galena|De galena|||||||||||
ORE.GALENA.NOUN|Galena||Galenit|Galène|Galena|Galena|Galena|Galena|Galena|Галенит|||||||
ORE.HEMATITE.ADJECTIVE|||||di ematite|De hematita|||||||||||
ORE.HEMATITE.NOUN|Hematite|As nothing other than ore is made out of ore,|Hämatit|Hématite|Ematite|Hematita|Hematite|Hematita|Hematyt|Гематит|||||||
ORE.MALACHITE.ADJECTIVE|||||di malachite|De malaquita|||||||||||
ORE.MALACHITE.NOUN|Malachite||Malachit|Malachite|Malachite|Malaquita|Malaquite|Malaquita|Malachit|Малахит|||||||
ORE.NATIVE_COPPER.ADJECTIVE|||||di rame nativo|De cobre nativo|||||||||||
ORE.NATIVE_COPPER.NOUN|Native copper||Reinkupfer|Cuivre|Rame nativo|Cobre nativo|Cobre nativo|Cobre nativo|Miedź rodzima|Самородная медь|||||||
ORE.NATIVE_GOLD.ADJECTIVE|||||d'oro nativo|De oro nativo|||||||||||
ORE.NATIVE_GOLD.NOUN|Native gold||Reingold|Or|Oro nativo|Oro nativo|Ouro nativo|Ouro nativo|Złoto rodzime|Самородное золото|||||||
ORE.NATIVE_SILVER.ADJECTIVE|||||d'argento nativo|De plata nativa|||||||||||
ORE.NATIVE_SILVER.NOUN|Native silver||Reinsilber|Argent|Argento nativo|Plata nativa|Prata nativa|Prata nativa|Srebro rodzime|Самородное серебро|||||||

OTHER.BRICK.NOUN|Brick||Backstein|Brique|Mattone|Ladrillo|Tijolo|Tijolo|Cegła|Кирпич|||||||
OTHER.CLAY_SOIL.NOUN|Clay soil||Lehmboden|Argile|Terreno argilloso|Arcilla|Solo argiloso|Solo de argila|Glina|Глинозем|||||||
OTHER.GRASS.NOUN|||Gras|Herbe|Erba|Hierba|Erva||Trawa|Трава|||||||

PRODUCT.BARREL|Barrel||Fass|Tonneau|Barile|Barril|Barril|Barril|Beczka|Бочка|||||||
PRODUCT.BARREL.HOOPS|Barrel hoops||Fassreifen|Cercles de tonneau|Cerchi da barile|Aros para barril|Aros de barril|Arcos de barril|Obręcze beczek|Обручи бочки|||||||
PRODUCT.BARREL.STAVES|Barrel staves||Fassdauben|Lattes de tonneau|Assi da barile|Duelas para barril|Pranchas de barril|Aduelas de barril|Deszczułki beczek|Бочарные клепки|||||||
PRODUCT.BOWL|Bowl|A bowl for eating from|Schale|Bol|Ciotola|Cuenco|Tijela|Tigela|Miska|Миска|||||||
PRODUCT.BOWL.DESCRIPTION|Bowl of {{cooking.soup.description}}|E.g. “Bowl of vegetable soup”|Schale mit {{cooking.soup.description}}|Bol de {{cooking.soup.description}}|Ciotola di {{cooking.soup.description}}|Cuenco de {{cooking.soup.description}}|Tijela de {{cooking.soup.description}}|Tigela de {{cooking.soup.description}}|Miska {{cooking.soup.description}}|Миска с супом ({{cooking.soup.description}})|||||||
PRODUCT.BUCKET|Bucket||Eimer|Seau|Secchio|Cubo|Balde|Balde|Wiadro|Ведро|||||||
PRODUCT.CAULDRON|Cauldron|A large metal pot for cooking (common with Halloween)|Kessel|Chaudron|Calderone|Caldero|Caldeirão|Caldeirão|Kocioł|Котел|||||||

PROFESSION.BAKER.FEMALE_NOUN|Baker||Bäckerin|Boulangère|Fornaia|Panadera|Padeira|Padeira|Piekarka|Пекарь|||||||
PROFESSION.BAKER.MALE_NOUN|Baker||Bäcker|Boulanger|Fornaio|Panadero|Padeiro|Padeiro|Piekarz|Пекарь|||||||
PROFESSION.BAKER.VERB|Baking||Backt|Fabriquant|Sta cuocendo|Horneando|Cozer|Assando|Piec|Выпекание|||||||
PROFESSION.BLACKSMITH.FEMALE_NOUN|Blacksmith||Schmiedin|Forgeronne|Fabbro|Herrera|Ferreira|Ferreira|Kowalka|Кузнец|||||||
PROFESSION.BLACKSMITH.MALE_NOUN|Blacksmith||Schmied|Forgeron|Fabbro|Herrero|Ferreiro|Ferreiro|Kowal|Кузнец|||||||
PROFESSION.BLACKSMITH.VERB|Forging||Schmiedet|Forgeant|Sta forgiando|Forjando|Forjar|Forjando|Wykuwać|Ковка|||||||
PROFESSION.CARPENTER.FEMALE_NOUN|Carpenter||Schreinerin|Menuisière|Artigiana|Carpintera|Carpinteira|Carpinteira|Stolarka|Плотник|||||||
PROFESSION.CARPENTER.MALE_NOUN|Carpenter||Schreiner|Menuisier|Artigiano|Carpintero|Carpinteiro|Carpinteiro|Stolarz|Плотник|||||||
PROFESSION.CARPENTER.VERB|Crafting||Schreinert|Élaborant|Sta producendo|Fabricando|Trabalhar em madeira|Carpintejando|Tworzyć|Изготовление|||||||
PROFESSION.CHEF.FEMALE_NOUN|Chef||Köchin|Cuisinière|Chef|Cocinera|Chef|Chef|Kucharz|Повариха|||||||
PROFESSION.CHEF.MALE_NOUN|Chef||Koch|Cuisinier|Chef|Cocinero|Chef|Chef|Kucharz|Повар|||||||
PROFESSION.CHEF.VERB|Cooking||Kocht|Cuisinant|Sta cucinando|Cocinando|A cozinhar|Cozinhando|Gotować|Приготовление еды|||||||
PROFESSION.FARMER.FEMALE_NOUN|Farmer||Bäuerin|Fermière|Coltivatrice|Granjera|Agricultora|Fazendeira|Farmerka|Фермер|||||||
PROFESSION.FARMER.MALE_NOUN|Farmer||Bauer|Fermier|Coltivatore|Granjero|Agricultor|Fazendeiro|Farmer|Фермер|||||||
PROFESSION.FARMER.VERB|Farming||Erntet|Cultivant|Sta coltivando|Cosechando|Cultivar|Cultivando|Uprawiać|Выращивание|||||||
PROFESSION.FISHER.FEMALE_NOUN|Fisher|This could be “fisherman” and “fisherwoman”|Fischerin|Pêcheuse|Pescatrice|Pescadora|Pescadora|Pescadora|Rybaczka|Рыбачка|||||||
PROFESSION.FISHER.MALE_NOUN|Fisher||Fischer|Pêcheur|Pescatore|Pescador|Pescador|Pescador|Rybak|Рыбак|||||||
PROFESSION.FISHER.VERB|Fishing||Fischt|Pêchant|Sta pescando|Pescando|Pescar|Pescando|Łowić|Ловля рыбы|||||||
PROFESSION.HUNTER.FEMALE_NOUN|Hunter|This could be “huntsman” and “huntress”|Jägerin|Chasseuse|Cacciatrice|Cazadora|Caçadora|Caçadora|Myśliwa|Охотница|||||||
PROFESSION.HUNTER.MALE_NOUN|Hunter||Jäger|Chasseur|Cacciatore|Cazador|Caçador|Caçador|Myśliwy|Охотник|||||||
PROFESSION.HUNTER.VERB|Hunting||Jagt|Chassant|Sta cacciando|Cazando|Caçar|Caçando|Polować|Охота|||||||
PROFESSION.MAYOR.FEMALE_NOUN|Mayor|In English at least, “mayoress” is incorrect|Bürgermeisterin|Maire|Sindaco|Alcaldesa|Presidente da Câmara|Prefeita|Burmistrzyni|Мэр|||||||
PROFESSION.MAYOR.MALE_NOUN|Mayor||Bürgermeister|Maire|Sindaco|Alcalde|Presidente da Câmara|Prefeito|Burmistrz|Мэр|||||||
PROFESSION.MAYOR.VERB|Governing||Verwaltet|Gouvernant|Sta governando|Gobernando|Governar|Governando|Rządzić|Руководство|||||||
PROFESSION.MERCHANT.FEMALE_NOUN|Merchant||Händlerin|Marchande|Mercante|Comerciante|Comerciante|Mercadora|Handlarka|Торговка|||||||
PROFESSION.MERCHANT.MALE_NOUN|Merchant||Händler|Marchand|Mercante|Comerciante|Comerciante|Mercador|Handlarz|Торговец|||||||
PROFESSION.MERCHANT.VERB|Trading||Tauscht|Échangeant|Sta commerciando|Comerciando|Comercializar|Comercializando|Handlować|Торговля|||||||
PROFESSION.MINER.FEMALE_NOUN|Miner||Bergarbeiterin|Mineuse|Minatrice|Minera|Mineira|Mineradora|Górniczka|Рудокоп|||||||
PROFESSION.MINER.MALE_NOUN|Miner||Bergarbeiter|Mineur|Minatore|Minero|Mineiro|Minerador|Górnik|Рудокоп|||||||
PROFESSION.MINER.VERB|Mining||Schürft|Minant|Sta scavando|Excavando|Escavar|Minerando|Wydobywać|Добыча|||||||
PROFESSION.NOBLE.FEMALE_NOUN|Noble||Adliger|Noble|Nobildonna|Aristócrata|Nobre|Nobre|Szlachcianka|Аристократка|||||||
PROFESSION.NOBLE.MALE_NOUN|Noble||Adliger|Noble|Nobiluomo|Aristócrata|Nobre|Nobre|Szlachcic|Аристократ|||||||
PROFESSION.NOBLE.VERB|Reigning||Regiert|Régnant|Sta regnando|Reinando|Reinar|Reinando|Panować|Царствование|||||||
PROFESSION.RUNESMITH.FEMALE_NOUN|Runesmith|from “runes” and “blacksmith”|Runenschmiedin|Forgerune|Forgiarune|Runista|Criadora de runas|Runeira|Runarka|Кузнец рун|||||||
PROFESSION.RUNESMITH.MALE_NOUN|Runesmith|This is an invented term for the game, but should be derived|Runenschmied|Forgerune|Forgiarune|Runista|Criador de runas|Runeiro|Runarz|Кузнец рун|||||||
PROFESSION.RUNESMITH.VERB|Enchanting||Verzaubert|Enchantant|Sta incantando|Hechizando|Encantar|Encantando|Zaklinać|Зачарование|||||||
PROFESSION.STONEMASON.FEMALE_NOUN|Stonemason||Steinmetzin|Tailleuse de pierre|Tagliapietre|Cinceladora|Pedreira|Pedreira|Kamieniarka|Каменщица|||||||
PROFESSION.STONEMASON.MALE_NOUN|Stonemason||Steinmetz|Tailleur de pierre|Tagliapietre|Cincelador|Pedreiro|Pedreiro|Kamieniarz|Каменщик|||||||
PROFESSION.STONEMASON.VERB|Sculpting||Bearbeitet|Sculptant|Sta lavorando|Esculpiendo|Esculpir|Talhando|Rzeźbić|Высекание|||||||
PROFESSION.TINKERER.FEMALE_NOUN|Tinker||Kesselflickerin|Bricoleuse|Stagnaia|Hojalatera|Consertadora|Engenhoqueira|Majsterka|Механик|||||||
PROFESSION.TINKERER.MALE_NOUN|Tinker||Kesselflicker|Bricoleur|Stagnaio|Hojalatero|Consertador|Engenhoqueiro|Majster|Механик|||||||
PROFESSION.TINKERER.VERB|Tinkering||Flickt|Bricolant|Sta riparando|Fabricando|Consertar|Fabricando|Majstrować|Производство|||||||
PROFESSION.VILLAGER.FEMALE_NOUN|Villager||Dorfbewohnerin|Villageoise|Abitante del villaggio|Aldeana|Aldeã|Aldeã|Wieśniaczka|Крестьянка|||||||
PROFESSION.VILLAGER.MALE_NOUN|Villager||Dorfbewohner|Villageois|Abitante del villaggio|Aldeano|Aldeão|Aldeão|Wieśniak|Крестьянин|||||||
PROFESSION.VILLAGER.VERB|Working||Arbeitet|Travaillant|Sta lavorando|Trabajando|Trabalhar|Trabalhando|Pracować|Работа|||||||
PROFESSION.WOODCUTTER.FEMALE_NOUN|Woodcutter|This could be “lumberjack” and “lumberjane”|Holzfällerin|Scieuse|Taglialegna|Leñadora|Lenhadora|Lenhadora|Drwalka|Резчица по дереву|||||||
PROFESSION.WOODCUTTER.MALE_NOUN|Woodcutter||Holzfäller|Scieur|Taglialegna|Leñador|Lenhador|Lenhador|Drwal|Резчик по дереву|||||||
PROFESSION.WOODCUTTER.VERB|Chopping||Fällt|Coupant|Sta tagliando|Talando|Cortar lenha|Cortando|Ścinać|Вырезание|||||||

RACE.DWARF.FEMALE_ADJECTIVE|Dwarven||zwergische|Naine|nana|Enana|De anã|Enânica|Krasnoludzka|Гномий|||||||
RACE.DWARF.FEMALE_NOUN|Dwarf||Zwergin|Naine|Nana|Enana|Anã|Anã|Krasnoludka|Гномка|||||||
RACE.DWARF.FEMALE_PLURAL|Dwarves||Zwerge|Naines|Nane|Enanas|Anãs|Anãs|Krasnoludki|Гномы|||||||
RACE.DWARF.MALE_ADJECTIVE|Dwarven||zwergischer|Nain|nano|Enano|De anão|Enânico|Krasnoludzki|Гномий|||||||
RACE.DWARF.MALE_NOUN|Dwarf|The male and female forms are only for languages that need them|Zwerg|Nain|Nano|Enano|Anão|Anão|Krasnolud|Гном|||||||
RACE.DWARF.MALE_PLURAL|Dwarves|Note that I'm going with Tolkein's spelling of “dwarves” rather than “dwarfs”|Zwerge|Nains|Nani|Enanos|Anões|Anões|Krasnoludy|Гномы|||||||

RESOURCE.GEM.NOUN|Gem||Edelstein|Gemme|Gemma|Gema|Joia|de gema|Klejnot|Самоцвет|||||||
RESOURCE.GEM.PLURAL|Gems||Edelsteine|Gemmes|Gemme|Gemas|Joias|Gemas|Klejnoty|Самоцветы|||||||
RESOURCE.GEMS.UNREFINED.NOUN|Uncut gem||Rohedelstein|Gemme brute|Gemma grezza|Gema en bruto|Joia bruta|Gema bruta|Nieoszlifowany klejnot|Необработанный самоцвет|||||||
RESOURCE.GEMS.UNREFINED.PLURAL|Uncut gems||Rohedelsteine|Gemmes brutes|Gemme grezze|Gemas en bruto|Joias brutas|Gemas brutas|Nieoszlifowane klejnoty|Необработанные самоцветы|||||||
RESOURCE.LOGS.NOUN|Log||Stamm|Bûche|Tronco|Tronco|Tronco|Tronco|Pień|Бревно|||||||
RESOURCE.LOGS.PLURAL|Logs||Stämme|Bûches|Tronchi|Troncos|Troncos|Troncos|Pnie|Бревна|||||||
RESOURCE.METAL.INGOT.NOUN|Ingot||Barren|Lingot|Lingotto|Lingote|Lingote|Lingote|Sztabka|Слиток|||||||
RESOURCE.METAL.INGOT.PLURAL|Ingots||Barren|Lingots|Lingotti|Lingotes|Lingotes|Lingotes|Sztabki|Слитки|||||||
RESOURCE.ORE.UNREFINED.NOUN|Ore||Erzbrocken|Minerai|Minerale grezzo|Mineral|Minério|Minério|Ruda|Руда|||||||
RESOURCE.ORE.UNREFINED.PLURAL|Ores||Erzbrocken|Minerais|Minerali grezzi|Minerales|Minérios|Minérios|Rudy|Руды|||||||
RESOURCE.PLANKS.NOUN|Plank||Brett|Planche|Asse|Tabla|Tábua|Tábua|Deska|Доска|||||||
RESOURCE.PLANKS.PLURAL|Planks||Bretter|Planches|Assi|Tablas|Tábuas|Tábuas|Deski|Доски|||||||
RESOURCE.STONE.BLOCK.NOUN|Block||Block|Bloc|Blocco|Bloque|Bloco|Bloco|Blok|Блок|||||||
RESOURCE.STONE.BLOCK.PLURAL|Blocks||Blöcke|Blocs|Blocchi|Bloques|Blocos|Blocos|Bloki|Блоки|||||||
RESOURCE.STONE.UNREFINED.NOUN|Rough stone boulder||Steinbrocken|Rocher brut|Blocco di pietra grezza|Peñasco|Pedregulho de pedra bruta|Pedregulho de pedra bruta|Nieociosany głaz|Грубый валун|||||||
RESOURCE.STONE.UNREFINED.PLURAL|Rough stone boulders||Steinbrocken|Rochers bruts|Blocchi di pietra grezza|Peñascos|Pedregulhos de pedra bruta|Pedregulhos de pedra bruta|Nieociosane głazy|Грубые валуны|||||||

ROOMS.BEDROOM|Bedroom||Schlafzimmer|Chambre|Camera da letto|Dormitorio|Quarto|Dormitório|Sypialnia|Спальня|||||||
ROOMS.CARPENTRY_WORKSHOP|Carpentry workshop||Schreinerei|Menuiserie|Falegnameria|Taller de carpintería|Oficina de carpintaria|Oficina de carpintaria|Warsztat stolarski|Мастерская плотника|||||||
ROOMS.FARM|Farm plot||Feld|Parcelle|Campo da coltivare|Huerto|Parcela de cultivo|Fazenda|Działka rolna|Огород|||||||
ROOMS.FEASTING_HALL|Feasting hall||Speisesaal |Salle de festin|Sala delle feste|Comedor |Refeitório |Refeitório |Święto Hall|Праздничный зал|||||||
ROOMS.KITCHEN|Kitchen||Küche|Cuisine|Cucina|Cocina|Cozinha|Cozinha|Kuchnia|Кухня|||||||
ROOMS.MASONRY_WORKSHOP|Masonry workshop||Maurerei|Carrière|Cantiere|Taller de albañilería|Oficina de alvenaria|Oficina de pedreiro|Warsztat murarski|Мастерская каменщика|||||||
ROOMS.PLACEHOLDER_METALWORKS|Placeholder metalworks||Platzhalter-Schlosserei|Ferronnerie provisoire|Fonderia segnaposto|Marcador de metalistería|Placeholder metalurgia|Metalúrgica provisória|Tymczasowy warsztat metalurgii|Временная металлообработка|||||||
ROOMS.SAWMILL|Sawmill||Sägewerk|Scierie|Segheria|Aserradero|Serraria|Madeireira|Tartak|Лесопилка|||||||
ROOMS.STOCKPILE|Stockpile||Vorrat|Réserve|Deposito|Reservas|Armazém||Skład|Склад|||||||
ROOMS.STOCKPILES|Stockpiles||Lager|Réserves|Magazzini|Reservas|Reservas|Estocagens|Skład|Склады|||||||

SEASON.AUTUMN|Autumn||Herbst|Automne|Autunno|Otoño|Outono|Outono|Jesień|Осень|||||||
SEASON.SPRING|Spring||Frühling|Printemps|Primavera|Primavera|Primavera|Primavera|Wiosna|Весна|||||||
SEASON.SUMMER|Summer||Sommer|Été|Estate|Verano|Verão|Verão|Lato|Лето|||||||
SEASON.WINTER|Winter||Winter|Hiver|Inverno|Invierno|Inverno|Inverno|Zima|Зима|||||||

SEED.BARLEY_SEED|Barley||Gersten|Orge|Orzo|de cebada|Cevada|Cevada|Jęczmień|Ячмень|||||||
SEED.CARROT_SEED|Carrot||Karotten|Carotte|Carota|de zanahoria|Cenoura|Cenoura|Marchewka|Морковь|||||||
SEED.CORN_SEED|Corn||Mais|Maïs|Mais|de maíz|Milho|Milho|Kukurydza|Кукуруза|||||||
SEED.HOPS_SEED|Hops||Hopfen|Houblon|Luppolo|de lúpulo|Lúpulo|Lúpulo|Chmiel|Хмель|||||||
SEED.POTATO_SEED|Potato||Kartoffel|Pomme de terre|Patata|de patata|Batata|Batata|Ziemniak|Картофель|||||||
SEED.TOMATO_SEED|Tomato||Tomaten|Tomate|Pomodoro|de tomate|Tomate|Tomate|Pomidor|Помидоры|||||||
SEED.WHEAT_SEED|Wheat||Weizen|Blé|Grano|de trigo|Trigo|Trigo|Pszenica|Пшеница|||||||

SHRUB.DESCRIPTION|Bush|Shrub or bush should do|Büsche|Arbuste|Cespuglio|Arbusto|Arbusto|Arbusto|Krzak|Куст|||||||

STOCKPILE.GEMS|Gems||Edelsteine|Gemmes|Gemme|Gemas|Joias|Gemas|Klejnoty|Самоцветы|||||||
STOCKPILE.GRANARY|Granary||Getreidespeicher|Grange|Granaio|Granero|Celeiro|Celeiro|Spichlerz|Амбар|||||||
STOCKPILE.LOGS|Logs||Stämme|Bûches|Tronchi|Troncos|Troncos|Troncos|Pnie|Бревна|||||||
STOCKPILE.ORES|Ores||Erzbrocken|Minerais|Minerali grezzi|Minerales|Minérios|Minérios|Rudy|Руды|||||||
STOCKPILE.PANTRY|Pantry||Vorratskammer|Cellier|Dispensa|Despensa|Despensa|Despensa|Spiżarnia|Кладовая|||||||
STOCKPILE.RESOURCES|Resources||Materiallager|Ressources|Risorse|Recursos|Recursos|Recursos|Zasoby|Ресурсы|||||||
STOCKPILE.STONES|Rough stone boulders||Steinbrocken|Rochers bruts|Blocchi di pietra grezza|Peñascos|Pedregulhos de pedra bruta|Pedregulhos de pedra bruta|Nieociosane głazy|Грубые валуны|||||||
STOCKPILE.TOOLS|Tools||Werkzeuglager|Outils|Attrezzi|Herramientas|Ferramentas|Ferramentas|Narzędzia|Инструменты||||||

STONE.BASALT.ADJECTIVE|Basalt||Basalt|en basalte|di basalto|De basalto|De basalto|de basalto|Bazaltowy|(базальт)|||||||
